Year-Week,Positive_Pools,Total_Mosquitoes,MIR,Avg_TMAX,Total_PRCP
2011-23,0,429,0.0,78.28571428571429,1.65
2011-24,0,828,0.0,78.28571428571429,0.8400000000000001
2011-25,0,843,0.0,77.14285714285714,0.66
2011-26,0,1942,0.0,85.42857142857143,0.03
2011-28,0,4573,0.0,86.0,0.4
2011-30,11,3845,2.860858257477243,87.85714285714286,2.11
2011-31,5,1059,4.721435316336166,86.85714285714286,1.36
2011-32,11,819,13.431013431013431,79.57142857142857,1.38
2011-33,4,586,6.825938566552901,83.0,1.11
2011-34,4,485,8.247422680412372,81.57142857142857,0.65
2011-35,7,865,8.092485549132947,84.14285714285714,0.06
2011-37,8,1504,5.319148936170213,66.71428571428571,0.51
2011-38,6,724,8.287292817679557,66.57142857142857,0.46
2011-39,0,181,0.0,61.57142857142857,2.44
2012-23,0,232,0.0,82.0,0.0
2012-24,0,359,0.0,86.0,0.42
2012-25,0,601,0.0,91.0,0.01
2012-26,3,1478,2.0297699594046006,88.85714285714286,0.4599999999999999
2012-28,42,8827,4.758128469468676,90.0,0.28
2012-29,74,6000,12.333333333333334,90.0,1.65
2012-30,112,4948,22.63540824575586,88.85714285714286,1.29
2012-31,99,4508,21.960958296362023,90.28571428571428,0.53
2012-32,33,1871,17.637626937466592,80.85714285714286,0.2299999999999999
2012-33,34,1914,17.763845350052247,78.0,0.79
2012-34,12,1012,11.857707509881422,85.14285714285714,0.6799999999999999
2012-35,4,887,4.509582863585118,85.28571428571429,0.0
2012-37,14,1980,7.070707070707071,78.14285714285714,0.19
2012-38,1,285,3.5087719298245617,66.57142857142857,0.43
2012-39,1,564,1.7730496453900708,70.28571428571429,0.0
2013-23,0,357,0.0,71.28571428571429,0.17
2013-24,0,1658,0.0,80.28571428571429,1.18
2013-25,0,1318,0.0,81.28571428571429,1.7000000000000002
2013-26,1,1354,0.7385524372230429,82.28571428571429,2.61
2013-28,7,6614,1.058361052313275,84.57142857142857,0.5
2013-29,15,4097,3.66121552355382,91.85714285714286,0.7399999999999999
2013-30,2,1951,1.025115325474116,74.57142857142857,0.42
2013-31,22,2856,7.703081232492997,78.0,1.17
2013-32,34,3136,10.841836734693878,81.28571428571429,0.12
2013-33,20,1940,10.309278350515465,77.57142857142857,0.27
2013-34,30,2046,14.66275659824047,85.42857142857143,0.24
2013-35,38,2627,14.46516939474686,88.42857142857143,0.5700000000000001
2013-36,32,2472,12.944983818770227,80.71428571428571,0.01
2013-37,23,2208,10.416666666666666,80.42857142857143,0.65
2013-38,11,1019,10.794896957801766,72.85714285714286,1.39
2013-39,4,501,7.984031936127744,73.57142857142857,0.38
2014-23,0,1692,0.0,78.14285714285714,0.64
2014-24,0,1889,0.0,75.42857142857143,1.78
2014-25,2,2420,0.8264462809917356,84.42857142857143,2.26
