Year-Week,Avg_TMAX,Total_PRCP
2011-04,30.0,0.0
2011-05,24.714285714285715,1.77
2011-06,27.428571428571427,0.13
2011-07,43.714285714285715,0.95
2011-08,33.42857142857143,0.62
2011-09,40.857142857142854,1.4100000000000001
2011-10,41.714285714285715,0.4
2011-11,52.57142857142857,0.32
2011-12,39.714285714285715,0.63
2011-13,48.857142857142854,0.31
2011-14,60.0,0.87
2011-15,57.0,0.62
2011-16,48.285714285714285,2.04
2011-17,59.714285714285715,1.06
2011-18,61.0,0.06
2011-19,73.14285714285714,1.06
2011-20,68.0,0.6599999999999999
2011-21,64.42857142857143,5.41
2011-22,83.85714285714286,0.29
2011-23,78.28571428571429,1.6500000000000001
2011-24,78.28571428571429,0.8400000000000001
2011-25,77.14285714285714,0.66
2011-26,85.42857142857143,0.03
2011-27,88.0,0.0
2011-28,86.0,0.4
2011-29,92.14285714285714,8.64
2011-30,87.85714285714286,2.11
2011-31,86.85714285714286,1.3599999999999999
2011-32,79.57142857142857,1.38
2011-33,83.0,1.11
2011-34,81.57142857142857,0.65
2011-35,84.14285714285714,0.06
2011-36,72.71428571428571,0.02
2011-37,66.71428571428571,0.51
2011-38,66.57142857142857,0.46
2011-39,61.57142857142857,2.44
2011-40,78.85714285714286,0.0
2011-41,69.28571428571429,0.45000000000000007
2011-42,56.857142857142854,1.19
2011-43,58.57142857142857,0.34
2011-44,57.285714285714285,0.09
2011-45,55.285714285714285,1.97
2011-46,51.857142857142854,0.01
2011-47,49.42857142857143,1.37
2011-48,46.0,0.37000000000000005
2011-49,35.857142857142854,0.11
2011-50,44.857142857142854,1.6
2011-51,41.42857142857143,0.030000000000000002
2011-52,41.5,0.54
2012-01,40.25,0.01
2012-02,37.285714285714285,0.36
2012-03,32.42857142857143,1.07
2012-04,37.857142857142854,0.38
2012-05,46.714285714285715,0.0
2012-06,33.285714285714285,0.2
2012-07,41.142857142857146,0.21
2012-08,40.714285714285715,0.9400000000000001
2012-09,41.42857142857143,0.48
2012-10,57.857142857142854,0.28
2012-11,77.42857142857143,0.19
2012-12,75.57142857142857,1.44
2012-13,56.714285714285715,0.6399999999999999
2012-14,60.714285714285715,0.0
2012-15,62.285714285714285,0.8300000000000001
2012-16,58.714285714285715,0.04
2012-17,57.57142857142857,0.72
2012-18,70.85714285714286,2.5100000000000002
2012-19,68.57142857142857,0.5599999999999999
2012-20,82.42857142857143,0.19
2012-21,82.28571428571429,0.0
2012-22,75.14285714285714,1.1300000000000001
2012-23,82.0,0.0
2012-24,86.0,0.42
2012-25,91.0,0.01
2012-26,88.85714285714286,0.45999999999999996
2012-27,97.85714285714286,0.28
2012-28,90.0,0.28
2012-29,90.0,1.65
2012-30,88.85714285714286,1.29
2012-31,90.28571428571429,0.53
2012-32,80.85714285714286,0.22999999999999998
2012-33,78.0,0.79
2012-34,85.14285714285714,0.6799999999999999
2012-35,85.28571428571429,0.0
2012-36,81.85714285714286,1.1400000000000001
2012-37,78.14285714285714,0.19
2012-38,66.57142857142857,0.43
2012-39,70.28571428571429,0.0
2012-40,60.857142857142854,0.38
2012-41,62.0,1.17
2012-42,61.57142857142857,0.6
2012-43,62.285714285714285,1.0
2012-44,49.142857142857146,0.0
2012-45,52.857142857142854,0.6699999999999999
2012-46,48.57142857142857,0.0
2012-47,50.142857142857146,0.28
2012-48,48.142857142857146,0.06
2012-49,49.142857142857146,0.44
2012-50,45.142857142857146,0.34
2012-51,38.857142857142854,1.35
2012-52,34.25,0.06
2013-01,27.5,0.37
2013-02,45.0,1.09
2013-03,34.714285714285715,0.0
2013-04,23.571428571428573,0.6499999999999999
2013-05,33.42857142857143,2.04
2013-06,34.714285714285715,1.57
2013-07,34.285714285714285,0.0
2013-08,34.142857142857146,0.56
2013-09,34.714285714285715,0.67
2013-10,39.42857142857143,1.57
2013-11,38.0,0.32
2013-12,34.857142857142854,0.09
2013-13,49.57142857142857,0.0
2013-14,51.714285714285715,0.04
2013-15,52.142857142857146,1.8699999999999999
2013-16,53.857142857142854,5.93
2013-17,61.0,0.84
2013-18,69.42857142857143,0.18
2013-19,66.0,0.45
2013-20,79.71428571428571,0.0
2013-21,68.42857142857143,3.08
2013-22,74.42857142857143,1.82
2013-23,71.28571428571429,0.17
2013-24,80.28571428571429,1.18
2013-25,81.28571428571429,1.7000000000000002
2013-26,82.28571428571429,2.61
2013-27,79.28571428571429,0.02
2013-28,84.57142857142857,0.5
2013-29,91.85714285714286,0.7399999999999999
2013-30,74.57142857142857,0.42000000000000004
2013-31,78.0,1.17
2013-32,81.28571428571429,0.12000000000000001
2013-33,77.57142857142857,0.27
2013-34,85.42857142857143,0.24000000000000002
2013-35,88.42857142857143,0.5700000000000001
2013-36,80.71428571428571,0.01
2013-37,80.42857142857143,0.65
2013-38,72.85714285714286,1.3900000000000001
2013-39,73.57142857142857,0.38
2013-40,75.0,1.03
2013-41,71.57142857142857,0.12
2013-42,56.857142857142854,0.38
2013-43,49.57142857142857,0.0
2013-44,55.142857142857146,1.6800000000000002
2013-45,52.714285714285715,0.64
2013-46,49.857142857142854,1.09
2013-47,39.57142857142857,0.24
2013-48,36.57142857142857,0.03
2013-49,36.714285714285715,0.35
2013-50,24.428571428571427,0.29000000000000004
2013-51,33.285714285714285,0.87
2013-52,33.714285714285715,0.09
2014-01,23.875,1.3199999999999998
2014-02,24.142857142857142,0.8700000000000001
2014-03,30.571428571428573,0.18
2014-04,23.571428571428573,0.44
2014-05,20.714285714285715,0.44
2014-06,18.571428571428573,0.5
2014-07,22.428571428571427,0.04
