SEASON YEAR,BLOCK,WEEK,Number of Negative Pools,Number of Positive Pools
2022,62XX N MCCLELLAN AVE,35,1,0
2022,62XX N MCCLELLAN AVE,36,1,0
2022,62XX N MCCLELLAN AVE,37,1,0
2022,62XX N MCCLELLAN AVE,38,1,0
2022,62XX N MCCLELLAN AVE,40,1,0
2022,63XX W 64TH ST,23,1,0
2022,63XX W 64TH ST,24,2,0
2022,63XX W 64TH ST,26,2,0
2022,63XX W 64TH ST,28,1,0
2022,63XX W 64TH ST,29,1,0
2022,63XX W 64TH ST,31,1,0
2022,63XX W 64TH ST,33,1,0
2022,63XX W 64TH ST,34,1,0
2022,63XX W 64TH ST,35,1,0
2022,63XX W 64TH ST,36,1,0
2022,63XX W 64TH ST,37,1,0
2022,63XX W 64TH ST,38,1,0
2022,63XX W 64TH ST,39,1,0
2022,63XX W 64TH ST,40,1,0
2022,64XX S STONY ISLAND AVE,26,1,0
2022,64XX S STONY ISLAND AVE,31,1,0
2022,64XX S STONY ISLAND AVE,34,1,0
2022,67XX S KEDZIE AVE,23,2,0
2022,67XX S KEDZIE AVE,24,2,0
2022,67XX S KEDZIE AVE,26,1,0
2022,67XX S KEDZIE AVE,27,1,0
2022,67XX S KEDZIE AVE,29,1,0
2022,67XX S KEDZIE AVE,31,1,0
2022,67XX S KEDZIE AVE,33,1,0
2022,67XX S KEDZIE AVE,34,1,0
2022,67XX S KEDZIE AVE,35,0,1
2022,67XX S KEDZIE AVE,36,1,0
2022,67XX S KEDZIE AVE,40,1,0
2022,6XX E 91ST PL,23,1,0
2022,6XX E 91ST PL,24,2,0
2022,6XX E 91ST PL,26,1,0
2022,6XX E 91ST PL,27,1,0
2022,6XX E 91ST PL,28,1,0
2022,6XX E 91ST PL,29,2,0
2022,6XX E 91ST PL,30,1,0
2022,6XX E 91ST PL,32,1,0
2022,6XX E 91ST PL,33,1,0
2022,6XX E 91ST PL,34,1,0
2022,6XX E 91ST PL,35,1,0
2022,6XX E 91ST PL,36,1,0
2022,6XX E 91ST PL,37,1,0
2022,6XX E 91ST PL,38,1,0
2022,6XX E 91ST PL,39,1,0
2022,6XX W MONTROSE DR,23,1,0
2022,6XX W MONTROSE DR,24,1,0
2022,6XX W MONTROSE DR,26,1,0
2022,6XX W MONTROSE DR,28,1,0
2022,6XX W MONTROSE DR,29,1,0
2022,6XX W MONTROSE DR,30,1,0
2022,6XX W MONTROSE DR,31,1,0
2022,6XX W MONTROSE DR,32,2,0
2022,6XX W MONTROSE DR,33,1,0
2022,6XX W MONTROSE DR,35,1,0
2022,6XX W MONTROSE DR,36,1,0
2022,6XX W MONTROSE DR,37,1,0
2022,6XX W MONTROSE DR,38,1,0
2022,70XX N MOSELLE AVE,24,2,0
2022,70XX N MOSELLE AVE,26,1,0
2022,70XX N MOSELLE AVE,27,1,0
2022,70XX N MOSELLE AVE,30,1,0
2022,70XX N MOSELLE AVE,31,1,0
2022,70XX N MOSELLE AVE,32,0,1
2022,70XX N MOSELLE AVE,33,0,1
2022,70XX N MOSELLE AVE,34,1,0
2022,70XX N MOSELLE AVE,35,1,0
2022,70XX N MOSELLE AVE,37,1,0
2022,70XX N MOSELLE AVE,40,1,0
2022,70XX W ARMITAGE AVE,23,1,0
2022,70XX W ARMITAGE AVE,24,1,0
2022,70XX W ARMITAGE AVE,25,1,0
2022,70XX W ARMITAGE AVE,26,1,0
2022,70XX W ARMITAGE AVE,27,1,0
2022,70XX W ARMITAGE AVE,28,1,0
2022,70XX W ARMITAGE AVE,30,1,0
2022,70XX W ARMITAGE AVE,31,1,0
2022,70XX W ARMITAGE AVE,32,0,1
2022,70XX W ARMITAGE AVE,33,1,0
2022,70XX W ARMITAGE AVE,34,1,0
2022,70XX W ARMITAGE AVE,35,0,1
2022,70XX W ARMITAGE AVE,36,1,0
2022,70XX W ARMITAGE AVE,37,1,0
2022,70XX W ARMITAGE AVE,38,1,0
2022,70XX W ARMITAGE AVE,39,1,0
2022,71XX N HARLEM AVE,24,2,0
2022,71XX N HARLEM AVE,25,1,0
2022,71XX N HARLEM AVE,26,1,0
2022,71XX N HARLEM AVE,28,1,0
2022,71XX N HARLEM AVE,29,1,0
2022,71XX N HARLEM AVE,30,1,0
2022,71XX N HARLEM AVE,31,1,0
2022,71XX N HARLEM AVE,32,1,0
2022,71XX N HARLEM AVE,33,0,1
2022,71XX N HARLEM AVE,35,1,0
2022,71XX N HARLEM AVE,36,1,0
2022,71XX N HARLEM AVE,37,1,0
2022,71XX N HARLEM AVE,38,1,0
2022,71XX S SOUTH SHORE DR,23,1,0
2022,71XX S SOUTH SHORE DR,24,1,0
2022,71XX S SOUTH SHORE DR,27,1,0
2022,71XX S SOUTH SHORE DR,28,1,0
2022,71XX S SOUTH SHORE DR,32,1,0
2022,71XX S SOUTH SHORE DR,33,1,0
2022,71XX S SOUTH SHORE DR,36,1,0
2022,71XX S SOUTH SHORE DR,38,1,0
2022,77XX S EBERHART AVE,23,1,0
2022,77XX S EBERHART AVE,24,1,0
2022,77XX S EBERHART AVE,27,1,0
2022,77XX S EBERHART AVE,28,1,0
2022,77XX S EBERHART AVE,31,1,0
2022,77XX S EBERHART AVE,33,1,0
2022,77XX S EBERHART AVE,34,1,0
2022,77XX S EBERHART AVE,35,1,0
2022,77XX S EBERHART AVE,37,1,0
2022,77XX S EBERHART AVE,38,1,0
2022,77XX S EBERHART AVE,40,1,0
2022,82XX S KOSTNER AVE,23,2,0
2022,82XX S KOSTNER AVE,24,1,0
2022,82XX S KOSTNER AVE,26,1,0
2022,82XX S KOSTNER AVE,27,1,0
2022,82XX S KOSTNER AVE,28,2,0
2022,82XX S KOSTNER AVE,29,2,0
2022,82XX S KOSTNER AVE,30,1,0
2022,82XX S KOSTNER AVE,31,1,0
2022,82XX S KOSTNER AVE,33,1,0
2022,82XX S KOSTNER AVE,34,0,1
2022,82XX S KOSTNER AVE,35,1,0
2022,82XX S KOSTNER AVE,36,1,0
2022,82XX S KOSTNER AVE,37,1,0
2022,82XX S KOSTNER AVE,38,1,0
2022,82XX S KOSTNER AVE,40,1,0
2022,89XX S CARPENTER ST,26,1,0
2022,89XX S CARPENTER ST,28,1,0
2022,89XX S CARPENTER ST,29,1,0
2022,89XX S CARPENTER ST,31,1,0
2022,89XX S CARPENTER ST,32,2,0
2022,89XX S CARPENTER ST,33,1,0
2022,89XX S CARPENTER ST,34,1,0
2022,89XX S CARPENTER ST,36,1,0
2022,89XX S CARPENTER ST,37,1,0
2022,89XX S CARPENTER ST,38,1,0
2022,89XX S CARPENTER ST,39,1,0
2022,89XX S MUSKEGON AVE,23,1,0
2022,89XX S MUSKEGON AVE,24,1,0
2022,89XX S MUSKEGON AVE,25,1,0
2022,89XX S MUSKEGON AVE,27,1,0
2022,89XX S MUSKEGON AVE,30,1,0
2022,89XX S MUSKEGON AVE,31,1,0
2022,89XX S MUSKEGON AVE,32,1,0
2022,89XX S MUSKEGON AVE,34,1,0
2022,89XX S MUSKEGON AVE,35,2,0
2022,89XX S MUSKEGON AVE,36,1,0
2022,89XX S MUSKEGON AVE,39,1,0
2022,91XX W HIGGINS RD,23,1,0
2022,91XX W HIGGINS RD,24,2,0
2022,91XX W HIGGINS RD,25,1,0
2022,91XX W HIGGINS RD,26,1,0
2022,91XX W HIGGINS RD,29,1,0
2022,91XX W HIGGINS RD,30,1,0
2022,91XX W HIGGINS RD,31,1,1
2022,91XX W HIGGINS RD,32,0,1
2022,91XX W HIGGINS RD,33,1,0
2022,91XX W HIGGINS RD,34,0,1
2022,91XX W HIGGINS RD,35,0,2
2022,91XX W HIGGINS RD,36,0,1
2022,91XX W HIGGINS RD,37,1,0
2022,91XX W HIGGINS RD,40,1,0
2022,9XX W GARFIELD BLVD,23,1,0
2022,9XX W GARFIELD BLVD,24,2,0
2022,9XX W GARFIELD BLVD,25,1,0
2022,9XX W GARFIELD BLVD,26,1,0
2022,9XX W GARFIELD BLVD,28,1,0
2022,9XX W GARFIELD BLVD,33,1,0
2022,9XX W GARFIELD BLVD,38,1,0
2023,100XX W OHARE,23,2,0
2023,100XX W OHARE,24,1,0
2023,100XX W OHARE,25,1,0
2023,100XX W OHARE,26,1,0
2023,100XX W OHARE,27,1,0
2023,100XX W OHARE,28,2,0
2023,100XX W OHARE,29,1,1
2023,100XX W OHARE,30,1,1
2023,100XX W OHARE,31,0,2
2023,100XX W OHARE,32,0,2
2023,100XX W OHARE,33,2,0
2023,100XX W OHARE,34,1,0
2023,100XX W OHARE,35,1,1
2023,100XX W OHARE,36,0,1
2023,100XX W OHARE,37,1,1
2023,100XX W OHARE,38,0,1
2023,100XX W OHARE,39,2,0
2023,100XX W OHARE AIRPORT,23,4,0
2023,100XX W OHARE AIRPORT,24,6,1
2023,100XX W OHARE AIRPORT,25,5,0
2023,100XX W OHARE AIRPORT,26,6,0
2023,100XX W OHARE AIRPORT,27,11,1
2023,100XX W OHARE AIRPORT,28,4,3
2023,100XX W OHARE AIRPORT,29,8,5
2023,100XX W OHARE AIRPORT,30,7,11
2023,100XX W OHARE AIRPORT,31,2,6
2023,100XX W OHARE AIRPORT,32,4,3
2023,100XX W OHARE AIRPORT,33,4,1
2023,100XX W OHARE AIRPORT,34,2,0
2023,100XX W OHARE AIRPORT,35,3,3
2023,100XX W OHARE AIRPORT,36,4,0
2023,100XX W OHARE AIRPORT,37,4,0
2023,100XX W OHARE AIRPORT,38,4,1
2023,100XX W OHARE AIRPORT,39,5,0
2023,101XX S STONY ISLAND AVE,23,2,0
2023,101XX S STONY ISLAND AVE,24,1,1
2023,101XX S STONY ISLAND AVE,26,2,0
2023,101XX S STONY ISLAND AVE,27,1,0
2023,101XX S STONY ISLAND AVE,28,1,0
2023,101XX S STONY ISLAND AVE,29,1,0
2023,101XX S STONY ISLAND AVE,30,1,0
2023,101XX S STONY ISLAND AVE,31,1,0
2023,101XX S STONY ISLAND AVE,34,1,0
2023,101XX S STONY ISLAND AVE,35,1,0
2023,101XX S STONY ISLAND AVE,36,1,0
2023,101XX S STONY ISLAND AVE,37,1,0
2023,101XX S STONY ISLAND AVE,38,1,0
2023,101XX S STONY ISLAND AVE,39,2,0
2023,104XX S VINCENNES AVE,24,1,0
2023,104XX S VINCENNES AVE,25,1,0
2023,104XX S VINCENNES AVE,26,1,0
2023,104XX S VINCENNES AVE,27,1,0
2023,104XX S VINCENNES AVE,28,1,0
2023,104XX S VINCENNES AVE,29,0,1
2023,104XX S VINCENNES AVE,30,2,0
2023,104XX S VINCENNES AVE,31,1,0
2023,104XX S VINCENNES AVE,32,0,1
2023,104XX S VINCENNES AVE,34,1,0
2023,104XX S VINCENNES AVE,35,0,1
2023,104XX S VINCENNES AVE,36,0,1
2023,104XX S VINCENNES AVE,37,1,0
2023,104XX S VINCENNES AVE,38,1,0
2023,104XX S VINCENNES AVE,39,1,0
2023,109XX S COTTAGE GROVE AVE,24,1,0
2023,109XX S COTTAGE GROVE AVE,25,1,0
2023,109XX S COTTAGE GROVE AVE,26,2,0
2023,109XX S COTTAGE GROVE AVE,28,1,0
2023,109XX S COTTAGE GROVE AVE,29,1,0
2023,109XX S COTTAGE GROVE AVE,31,1,0
2023,109XX S COTTAGE GROVE AVE,32,0,1
2023,109XX S COTTAGE GROVE AVE,34,1,0
2023,109XX S COTTAGE GROVE AVE,35,1,0
2023,109XX S COTTAGE GROVE AVE,36,1,0
2023,109XX S COTTAGE GROVE AVE,37,1,0
2023,109XX S COTTAGE GROVE AVE,38,1,0
2023,109XX S COTTAGE GROVE AVE,39,1,0
2023,10XX E 67TH ST,23,1,0
2023,10XX E 67TH ST,24,1,0
2023,10XX E 67TH ST,25,1,0
2023,10XX E 67TH ST,26,1,0
2023,10XX E 67TH ST,27,1,0
2023,10XX E 67TH ST,28,1,0
2023,10XX E 67TH ST,30,1,0
2023,10XX E 67TH ST,31,1,0
2023,10XX E 67TH ST,32,1,1
2023,10XX E 67TH ST,33,1,0
2023,10XX E 67TH ST,34,0,1
2023,10XX E 67TH ST,35,1,0
2023,10XX E 67TH ST,37,1,0
2023,10XX E 67TH ST,39,1,0
2023,119XX S ASHLAND AVE,24,1,0
2023,119XX S ASHLAND AVE,25,1,0
2023,119XX S ASHLAND AVE,26,1,0
2023,119XX S ASHLAND AVE,27,1,0
2023,119XX S ASHLAND AVE,28,1,0
2023,119XX S ASHLAND AVE,29,1,0
2023,119XX S ASHLAND AVE,30,1,0
2023,119XX S ASHLAND AVE,31,1,0
2023,119XX S ASHLAND AVE,33,1,0
2023,119XX S ASHLAND AVE,34,1,0
2023,119XX S ASHLAND AVE,35,1,0
2023,119XX S ASHLAND AVE,36,0,1
2023,119XX S ASHLAND AVE,37,1,0
2023,119XX S ASHLAND AVE,38,1,0
2023,119XX S ASHLAND AVE,39,1,0
2023,11XX S CALIFORNIA AVE,23,1,0
2023,11XX S CALIFORNIA AVE,24,1,0
2023,11XX S CALIFORNIA AVE,25,2,0
2023,11XX S CALIFORNIA AVE,27,1,0
2023,11XX S CALIFORNIA AVE,28,1,0
2023,11XX S CALIFORNIA AVE,29,1,0
2023,11XX S CALIFORNIA AVE,34,1,0
2023,11XX S CALIFORNIA AVE,35,1,0
2023,11XX S CALIFORNIA AVE,38,1,0
2023,11XX S CALIFORNIA AVE,39,1,0
2023,11XX W CHICAGO AVE,24,1,0
2023,11XX W CHICAGO AVE,26,1,0
2023,11XX W CHICAGO AVE,27,1,0
2023,11XX W CHICAGO AVE,28,1,0
2023,11XX W CHICAGO AVE,30,1,0
2023,11XX W CHICAGO AVE,32,0,1
2023,11XX W CHICAGO AVE,33,1,0
2023,11XX W CHICAGO AVE,36,0,1
2023,11XX W CHICAGO AVE,37,1,0
2023,11XX W CHICAGO AVE,38,1,0
2023,11XX W CHICAGO AVE,39,1,0
2023,11XX W ROOSEVELT RD,23,2,0
2023,11XX W ROOSEVELT RD,25,1,0
2023,11XX W ROOSEVELT RD,26,1,0
2023,11XX W ROOSEVELT RD,27,1,0
2023,11XX W ROOSEVELT RD,29,1,0
2023,11XX W ROOSEVELT RD,32,1,0
2023,11XX W ROOSEVELT RD,33,1,0
2023,11XX W ROOSEVELT RD,34,0,2
2023,11XX W ROOSEVELT RD,35,0,1
2023,11XX W ROOSEVELT RD,36,1,1
2023,11XX W ROOSEVELT RD,37,1,0
2023,11XX W ROOSEVELT RD,38,1,0
2023,11XX W ROOSEVELT RD,39,1,0
2023,127XX S DOTY AVE,27,1,0
2023,127XX S DOTY AVE,28,1,0
2023,127XX S DOTY AVE,29,1,0
2023,127XX S DOTY AVE,31,0,1
2023,127XX S DOTY AVE,33,1,0
2023,127XX S DOTY AVE,34,1,0
2023,127XX S DOTY AVE,35,1,0
2023,127XX S DOTY AVE,36,1,0
2023,127XX S DOTY AVE,37,1,0
2023,127XX S DOTY AVE,39,1,0
2023,12XX W GREENLEAF AVE,24,1,0
2023,12XX W GREENLEAF AVE,27,1,0
2023,12XX W GREENLEAF AVE,29,1,0
2023,12XX W GREENLEAF AVE,30,1,0
2023,12XX W GREENLEAF AVE,31,0,1
2023,12XX W GREENLEAF AVE,33,1,0
2023,12XX W GREENLEAF AVE,34,1,0
2023,12XX W GREENLEAF AVE,35,1,0
2023,12XX W GREENLEAF AVE,36,1,0
2023,12XX W GREENLEAF AVE,37,1,0
2023,12XX W GREENLEAF AVE,38,1,0
2023,12XX W GREENLEAF AVE,39,1,0
2023,131XX S BRANDON AVE,23,1,0
2023,131XX S BRANDON AVE,24,1,0
2023,131XX S BRANDON AVE,25,1,0
2023,131XX S BRANDON AVE,26,1,0
2023,131XX S BRANDON AVE,27,1,0
2023,131XX S BRANDON AVE,29,1,0
2023,131XX S BRANDON AVE,31,1,0
2023,131XX S BRANDON AVE,32,2,0
2023,131XX S BRANDON AVE,33,1,0
2023,131XX S BRANDON AVE,34,1,0
2023,131XX S BRANDON AVE,35,1,0
2023,131XX S BRANDON AVE,36,1,0
2023,131XX S BRANDON AVE,37,1,0
2023,131XX S BRANDON AVE,38,1,0
2023,131XX S BRANDON AVE,39,1,0
2023,13XX N LARAMIE AVE,24,1,0
2023,13XX N LARAMIE AVE,26,2,0
2023,13XX N LARAMIE AVE,27,1,0
2023,13XX N LARAMIE AVE,28,0,1
2023,13XX N LARAMIE AVE,30,0,1
2023,13XX N LARAMIE AVE,31,1,0
2023,13XX N LARAMIE AVE,32,1,0
2023,13XX N LARAMIE AVE,33,1,0
2023,13XX N LARAMIE AVE,35,1,0
2023,13XX N LARAMIE AVE,36,1,0
2023,13XX N LARAMIE AVE,37,1,0
2023,13XX N LARAMIE AVE,38,1,0
2023,14XX N HUMBOLDT DR,23,1,0
2023,14XX N HUMBOLDT DR,26,1,0
2023,14XX N HUMBOLDT DR,27,1,0
2023,14XX N HUMBOLDT DR,28,1,0
2023,14XX N HUMBOLDT DR,29,2,0
2023,14XX N HUMBOLDT DR,30,1,3
2023,14XX N HUMBOLDT DR,32,1,1
2023,14XX N HUMBOLDT DR,33,1,1
2023,14XX N HUMBOLDT DR,34,1,0
2023,14XX N HUMBOLDT DR,35,1,0
2023,14XX N HUMBOLDT DR,36,0,1
2023,14XX N HUMBOLDT DR,37,1,0
2023,14XX N HUMBOLDT DR,38,1,0
2023,14XX N HUMBOLDT DR,39,1,0
2023,17XX N PULASKI RD,23,1,0
2023,17XX N PULASKI RD,24,1,0
2023,17XX N PULASKI RD,26,2,0
2023,17XX N PULASKI RD,27,1,0
2023,17XX N PULASKI RD,28,1,0
2023,17XX N PULASKI RD,29,2,0
2023,17XX N PULASKI RD,30,2,0
2023,17XX N PULASKI RD,31,1,1
2023,17XX N PULASKI RD,32,1,1
2023,17XX N PULASKI RD,33,1,0
2023,17XX N PULASKI RD,34,0,1
2023,17XX N PULASKI RD,35,0,1
2023,17XX N PULASKI RD,36,1,0
2023,17XX N PULASKI RD,37,1,0
2023,17XX N PULASKI RD,38,1,0
2023,17XX N PULASKI RD,39,1,0
2023,17XX W 95TH ST,23,1,0
2023,17XX W 95TH ST,24,1,0
2023,17XX W 95TH ST,25,1,0
2023,17XX W 95TH ST,26,1,0
2023,17XX W 95TH ST,27,1,0
2023,17XX W 95TH ST,28,1,0
2023,17XX W 95TH ST,29,1,0
2023,17XX W 95TH ST,30,1,0
2023,17XX W 95TH ST,31,2,1
2023,17XX W 95TH ST,32,2,5
2023,17XX W 95TH ST,33,2,1
2023,17XX W 95TH ST,34,1,0
2023,17XX W 95TH ST,35,1,0
2023,17XX W 95TH ST,36,1,0
2023,17XX W 95TH ST,37,2,0
2023,17XX W ADDISON ST,27,1,0
2023,17XX W ADDISON ST,28,1,0
2023,17XX W ADDISON ST,30,1,0
2023,17XX W ADDISON ST,31,0,1
2023,17XX W ADDISON ST,32,0,2
2023,17XX W ADDISON ST,33,0,1
2023,17XX W ADDISON ST,34,1,0
2023,17XX W ADDISON ST,35,1,0
2023,17XX W ADDISON ST,37,1,0
2023,17XX W ADDISON ST,39,1,0
2023,18XX S INDIANA AVE,27,0,1
2023,18XX S INDIANA AVE,30,1,0
2023,18XX S INDIANA AVE,32,1,0
2023,18XX S INDIANA AVE,33,1,0
2023,18XX S INDIANA AVE,34,1,0
2023,18XX S INDIANA AVE,35,1,0
2023,18XX S INDIANA AVE,36,1,0
2023,18XX S INDIANA AVE,37,1,0
2023,18XX S INDIANA AVE,38,1,0
2023,18XX S INDIANA AVE,39,1,0
2023,1XX N CENTRAL PARK DR,23,2,0
2023,1XX N CENTRAL PARK DR,24,1,0
2023,1XX N CENTRAL PARK DR,25,1,0
2023,1XX N CENTRAL PARK DR,26,1,0
2023,1XX N CENTRAL PARK DR,28,1,0
2023,1XX N CENTRAL PARK DR,29,1,0
2023,1XX N CENTRAL PARK DR,30,0,1
2023,1XX N CENTRAL PARK DR,31,1,0
2023,1XX N CENTRAL PARK DR,33,0,1
2023,1XX N CENTRAL PARK DR,34,0,1
2023,1XX N CENTRAL PARK DR,35,1,0
2023,1XX N CENTRAL PARK DR,36,1,0
2023,1XX N CENTRAL PARK DR,37,1,0
2023,1XX N CENTRAL PARK DR,38,1,0
2023,21XX N CANNON DR,24,1,0
2023,21XX N CANNON DR,25,1,0
2023,21XX N CANNON DR,26,1,0
2023,21XX N CANNON DR,28,1,0
2023,21XX N CANNON DR,29,1,0
2023,21XX N CANNON DR,32,1,0
2023,21XX N CANNON DR,34,1,0
2023,21XX N CANNON DR,35,1,0
2023,21XX N CANNON DR,37,1,0
2023,21XX N CANNON DR,38,1,0
2023,22XX N CANNON DR,24,1,0
2023,22XX N CANNON DR,25,1,0
2023,22XX N CANNON DR,26,1,0
2023,22XX N CANNON DR,27,0,1
2023,22XX N CANNON DR,28,3,0
2023,22XX N CANNON DR,30,2,0
2023,22XX N CANNON DR,32,2,0
2023,22XX N CANNON DR,33,2,0
2023,22XX N CANNON DR,34,1,1
2023,22XX N CANNON DR,35,0,1
2023,22XX N CANNON DR,38,1,0
2023,22XX W 51ST ST,23,1,0
2023,22XX W 51ST ST,24,2,0
2023,22XX W 51ST ST,25,1,0
2023,22XX W 51ST ST,26,1,0
2023,22XX W 51ST ST,27,2,0
2023,22XX W 51ST ST,28,1,0
2023,22XX W 51ST ST,29,1,0
2023,22XX W 51ST ST,31,0,1
2023,22XX W 51ST ST,32,1,1
2023,22XX W 51ST ST,33,1,0
2023,22XX W 51ST ST,34,1,0
2023,22XX W 51ST ST,35,0,1
2023,22XX W 51ST ST,36,1,0
2023,22XX W 69TH ST,24,1,0
2023,22XX W 69TH ST,25,1,0
2023,22XX W 69TH ST,26,1,0
2023,22XX W 69TH ST,27,1,0
2023,22XX W 69TH ST,28,1,0
2023,22XX W 69TH ST,30,2,0
2023,22XX W 69TH ST,31,2,0
2023,22XX W 69TH ST,32,1,1
2023,22XX W 69TH ST,33,1,0
2023,22XX W 69TH ST,34,0,1
2023,22XX W 69TH ST,35,1,0
2023,22XX W 69TH ST,38,1,0
2023,22XX W 69TH ST,39,1,0
2023,24XX E 105TH ST,24,1,0
2023,24XX E 105TH ST,27,1,0
2023,24XX E 105TH ST,28,1,0
2023,24XX E 105TH ST,29,1,0
2023,24XX E 105TH ST,30,1,0
2023,24XX E 105TH ST,32,0,1
2023,24XX E 105TH ST,33,0,1
2023,24XX E 105TH ST,34,1,0
2023,24XX E 105TH ST,35,1,0
2023,24XX E 105TH ST,36,1,0
2023,24XX E 105TH ST,37,1,0
2023,24XX E 105TH ST,38,1,0
2023,24XX E 105TH ST,39,1,0
2023,25XX S MILLARD AVE,25,1,0
2023,25XX S MILLARD AVE,26,1,0
2023,25XX S MILLARD AVE,27,1,0
2023,25XX S MILLARD AVE,29,0,1
2023,25XX S MILLARD AVE,30,1,0
2023,25XX S MILLARD AVE,31,2,0
2023,25XX S MILLARD AVE,32,0,1
2023,25XX S MILLARD AVE,33,1,0
2023,25XX S MILLARD AVE,34,1,0
2023,25XX S MILLARD AVE,35,0,1
2023,25XX S MILLARD AVE,36,1,0
2023,25XX S MILLARD AVE,37,1,0
2023,25XX S MILLARD AVE,38,1,0
2023,25XX S MILLARD AVE,39,1,0
2023,25XX W GRAND AVE,23,1,0
2023,25XX W GRAND AVE,26,1,0
2023,25XX W GRAND AVE,28,1,0
2023,25XX W GRAND AVE,32,0,1
2023,25XX W GRAND AVE,33,1,0
2023,25XX W GRAND AVE,37,1,0
2023,25XX W GRAND AVE,38,1,0
2023,25XX W GRAND AVE,39,1,0
2023,28XX N FRANCISCO AVE,28,1,0
2023,28XX N FRANCISCO AVE,29,1,0
2023,28XX N FRANCISCO AVE,30,1,0
2023,28XX N FRANCISCO AVE,31,1,0
2023,28XX N FRANCISCO AVE,32,1,0
2023,28XX N FRANCISCO AVE,34,1,0
2023,28XX N FRANCISCO AVE,35,1,0
2023,28XX N FRANCISCO AVE,36,1,0
2023,28XX N FRANCISCO AVE,37,1,0
2023,28XX N FRANCISCO AVE,38,1,0
2023,35XX W 51ST ST,23,1,0
2023,35XX W 51ST ST,26,1,0
2023,35XX W 51ST ST,27,1,0
2023,35XX W 51ST ST,28,1,0
2023,35XX W 51ST ST,30,3,0
2023,35XX W 51ST ST,31,1,1
2023,35XX W 51ST ST,32,2,2
2023,35XX W 51ST ST,33,0,1
2023,35XX W 51ST ST,34,1,0
2023,35XX W 51ST ST,35,1,0
2023,35XX W 51ST ST,36,1,0
2023,35XX W 51ST ST,37,0,1
2023,35XX W 51ST ST,38,1,0
2023,35XX W 51ST ST,39,1,0
2023,36XX N PITTSBURGH AVE,23,1,0
2023,36XX N PITTSBURGH AVE,24,1,0
2023,36XX N PITTSBURGH AVE,25,1,0
2023,36XX N PITTSBURGH AVE,26,1,0
2023,36XX N PITTSBURGH AVE,27,1,0
2023,36XX N PITTSBURGH AVE,28,1,0
2023,36XX N PITTSBURGH AVE,30,1,0
2023,36XX N PITTSBURGH AVE,32,1,0
2023,36XX N PITTSBURGH AVE,33,1,0
2023,36XX N PITTSBURGH AVE,34,1,0
2023,36XX N PITTSBURGH AVE,35,1,0
2023,36XX N PITTSBURGH AVE,36,1,0
2023,36XX N PITTSBURGH AVE,37,0,1
2023,36XX N PITTSBURGH AVE,38,2,0
2023,36XX N PITTSBURGH AVE,39,1,0
2023,37XX E 118TH ST,23,2,0
2023,37XX E 118TH ST,24,2,0
2023,37XX E 118TH ST,25,1,0
2023,37XX E 118TH ST,26,4,0
2023,37XX E 118TH ST,27,1,0
2023,37XX E 118TH ST,28,1,0
2023,37XX E 118TH ST,29,1,0
2023,37XX E 118TH ST,30,1,0
2023,37XX E 118TH ST,31,2,0
2023,37XX E 118TH ST,32,5,1
2023,37XX E 118TH ST,33,0,1
2023,37XX E 118TH ST,35,1,0
2023,37XX E 118TH ST,38,1,0
2023,37XX E 118TH ST,39,1,0
2023,37XX S PULASKI RD,23,1,0
2023,37XX S PULASKI RD,26,1,0
2023,37XX S PULASKI RD,28,1,0
2023,37XX S PULASKI RD,29,1,0
2023,37XX S PULASKI RD,30,1,0
2023,37XX S PULASKI RD,32,0,1
2023,37XX S PULASKI RD,33,0,1
2023,37XX S PULASKI RD,34,0,1
2023,37XX S PULASKI RD,38,1,0
2023,39XX N SPRINGFIELD AVE,23,1,0
2023,39XX N SPRINGFIELD AVE,24,1,0
2023,39XX N SPRINGFIELD AVE,25,1,0
2023,39XX N SPRINGFIELD AVE,28,1,0
2023,39XX N SPRINGFIELD AVE,29,2,0
2023,39XX N SPRINGFIELD AVE,30,1,0
2023,39XX N SPRINGFIELD AVE,31,0,1
2023,39XX N SPRINGFIELD AVE,32,0,1
2023,39XX N SPRINGFIELD AVE,33,1,0
2023,39XX N SPRINGFIELD AVE,34,1,0
2023,39XX N SPRINGFIELD AVE,35,1,0
2023,39XX N SPRINGFIELD AVE,36,0,1
2023,39XX N SPRINGFIELD AVE,37,0,1
2023,39XX N SPRINGFIELD AVE,38,1,0
2023,39XX N SPRINGFIELD AVE,39,1,0
2023,39XX S ASHLAND AVE,23,1,0
2023,39XX S ASHLAND AVE,25,1,0
2023,39XX S ASHLAND AVE,26,1,0
2023,39XX S ASHLAND AVE,27,0,1
2023,39XX S ASHLAND AVE,28,1,0
2023,39XX S ASHLAND AVE,29,1,0
2023,39XX S ASHLAND AVE,30,1,1
2023,39XX S ASHLAND AVE,32,0,2
2023,39XX S ASHLAND AVE,33,1,0
2023,39XX S ASHLAND AVE,34,0,1
2023,39XX S ASHLAND AVE,35,0,1
2023,39XX S ASHLAND AVE,36,1,0
2023,39XX S ASHLAND AVE,37,1,0
2023,39XX S ASHLAND AVE,38,1,0
2023,39XX S ASHLAND AVE,39,1,0
2023,3XX W 104TH ST,24,1,0
2023,3XX W 104TH ST,26,2,0
2023,3XX W 104TH ST,29,1,0
2023,3XX W 104TH ST,30,1,0
2023,3XX W 104TH ST,31,1,0
