"STATION","NAME","DATE","PRCP","TMAX"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-02","0.00","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-03","0.13","72"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-04","0.11","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-05","0.00","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-06","0.00","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-07","0.25","46"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-08","0.51","45"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-09","0.00","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-10","0.00","83"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-11","0.00","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-12","0.00","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-13","0.00","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-14","0.00","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-15","0.34","51"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-16","0.20","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-17","0.08","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-18","0.49","41"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-19","0.95","38"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-20","0.01","43"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-21","0.03","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-22","0.56","46"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-23","0.00","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-24","0.00","56"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-25","0.34","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-26","0.38","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-27","0.31","55"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-28","0.03","45"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-29","0.00","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-30","0.00","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-01","0.00","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-02","0.00","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-03","0.00","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-04","0.00","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-05","0.06","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-06","0.00","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-07","0.00","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-08","0.00","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-09","0.00","73"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-10","0.00","90"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-11","0.13","87"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-12","0.29","86"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-13","0.02","77"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-14","0.31","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05-15","0.31","46"
