STATION,NAME,DATE,PRCP,TMAX
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/6/11,0,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/7/11,0.25,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/8/11,0.51,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/9/11,0,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/10/11,0,83
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/11/11,0,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/12/11,0,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/13/11,0,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/14/11,0,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/15/11,0.34,51
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/16/11,0.2,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/17/11,0.08,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/18/11,0.49,41
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/19/11,0.95,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/20/11,0.01,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/21/11,0.03,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/22/11,0.56,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/23/11,0,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/24/11,0,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/25/11,0.34,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/26/11,0.38,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/27/11,0.31,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/28/11,0.03,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/29/11,0,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/30/11,0,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/1/11,0,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/2/11,0,59
