TEST DATE,Positive_Pools,Total_Mosquitoes,MIR
2011-06-17 00:06:00,0,828,0.0
2011-06-24 00:06:00,0,843,0.0
2011-06-30 00:06:00,0,1942,0.0
2011-07-11 00:07:00,0,2087,0.0
2011-07-15 00:07:00,0,2486,0.0
2011-07-25 00:07:00,3,2441,1.2290045063498567
2011-07-29 00:07:00,8,1404,5.698005698005698
2011-08-05 00:08:00,5,1059,4.721435316336166
2011-08-12 00:08:00,11,819,13.431013431013431
2011-08-19 00:08:00,4,586,6.825938566552901
2011-08-26 00:08:00,4,485,8.247422680412372
2011-09-01 00:09:00,4,314,12.738853503184714
2011-09-02 00:09:00,3,551,5.44464609800363
2011-09-12 00:09:00,6,704,8.522727272727272
2011-09-16 00:09:00,2,800,2.5
2011-09-23 00:09:00,6,724,8.287292817679557
2011-09-30 00:09:00,0,181,0.0
2012-06-08 00:06:00,0,232,0.0
2012-06-15 00:06:00,0,359,0.0
2012-06-21 00:06:00,0,601,0.0
2012-06-29 00:06:00,3,1478,2.0297699594046006
2012-07-09 00:07:00,15,5429,2.762939767913059
2012-07-13 00:07:00,27,3398,7.945850500294291
2012-07-19 00:07:00,36,3265,11.0260336906585
2012-07-20 00:07:00,38,2735,13.893967093235833
2012-07-27 00:07:00,112,4948,22.63540824575586
2012-08-03 00:08:00,99,4508,21.960958296362023
2012-08-09 00:08:00,18,783,22.988505747126435
2012-08-10 00:08:00,15,1088,13.786764705882353
2012-08-16 00:08:00,16,1079,14.828544949026877
2012-08-17 00:08:00,18,835,21.55688622754491
2012-08-23 00:08:00,4,391,10.230179028132993
2012-08-24 00:08:00,8,621,12.882447665056361
2012-08-30 00:08:00,3,389,7.712082262210797
2012-08-31 00:08:00,1,498,2.008032128514056
2012-09-10 00:09:00,5,998,5.01002004008016
2012-09-13 00:09:00,9,982,9.164969450101832
2012-09-20 00:09:00,1,285,3.5087719298245617
2012-09-28 00:09:00,1,564,1.7730496453900708
2013-06-07 00:06:00,0,357,0.0
2013-06-14 00:06:00,0,1658,0.0
2013-06-21 00:06:00,0,1318,0.0
2013-06-27 00:06:00,0,439,0.0
2013-06-28 00:06:00,1,915,1.092896174863388
2013-07-08 00:07:00,0,1832,0.0
2013-07-12 00:07:00,7,4782,1.4638226683396067
2013-07-19 00:07:00,15,4097,3.6612155235538197
2013-07-25 00:07:00,2,1951,1.0251153254741159
2013-08-01 00:08:00,22,2856,7.703081232492997
2013-08-08 00:08:00,34,3136,10.841836734693878
2013-08-15 00:08:00,20,1940,10.309278350515465
2013-08-22 00:08:00,30,2046,14.66275659824047
2013-08-29 00:08:00,38,2627,14.46516939474686
2013-09-06 00:09:00,32,2472,12.944983818770227
2013-09-12 00:09:00,23,2208,10.416666666666666
2013-09-19 00:09:00,11,1019,10.794896957801766
2013-09-26 00:09:00,4,501,7.984031936127744
2014-06-05 00:06:00,0,1692,0.0
2014-06-12 00:06:00,0,1889,0.0
2014-06-19 00:06:00,2,2420,0.8264462809917356
2014-06-26 00:06:00,1,1376,0.7267441860465116
2014-07-03 00:07:00,0,1695,0.0
2014-07-10 00:07:00,2,2683,0.7454342154304883
2014-07-17 00:07:00,1,1136,0.8802816901408451
2014-07-24 00:07:00,1,528,1.893939393939394
2014-07-31 00:07:00,16,3667,4.36323970548132
2014-08-07 00:08:00,15,3907,3.839262861530586
2014-08-14 00:08:00,32,3960,8.080808080808081
2014-08-21 00:08:00,36,4400,8.181818181818182
2014-08-28 00:08:00,41,3201,12.808497344579818
2014-09-05 00:09:00,36,2124,16.949152542372882
2014-09-11 00:09:00,8,915,8.743169398907105
2014-09-18 00:09:00,12,708,16.949152542372882
2014-09-25 00:09:00,7,600,11.666666666666668
