STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/21/18,3.8,0,0,0,40,44,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/22/18,12.53,0.81,0,0,47,54,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/23/18,12.75,0.07,0.5,0,35,39,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/24/18,6.49,0.02,0.3,1.2,29,30,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/25/18,9.62,0,0,1.2,31,43,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/26/18,18.57,0,0,0,41,51,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/27/18,12.3,0,0,0,47,50,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/28/18,8.72,0.01,0,0,35,40,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/29/18,12.08,0,0,0,27,30,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/30/18,10.51,0,0,0,21,31,15
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/31/18,13.87,0,0,0,35,42,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/1/18,15.43,0,0,0,28,35,8
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/2/18,10.29,0,0,0,11,22,5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/3/18,13.2,0.03,0.8,0,26,41,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/4/18,13.42,0.08,1.1,1.2,26,35,4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/5/18,6.93,0.22,2.2,2,6,12,-3
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/6/18,5.37,0.02,0.2,3.9,12,21,3
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/7/18,9.4,0.11,1.7,3.9,17,20,8
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/8/18,6.93,0.15,1.6,3.9,13,21,7
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/9/18,10.74,0.57,6.2,7.9,24,28,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/10/18,9.62,0.05,0.8,9.8,19,22,14
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/11/18,10.07,0.39,3.7,11.8,20,22,11
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/12/18,6.26,0,0,11.8,15,27,4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/13/18,6.26,0,0,11,20,35,7
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/14/18,9.62,0,0,9.8,32,44,24
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/15/18,6.26,0,0,3.9,41,48,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/16/18,10.07,0,0,0,36,37,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/17/18,8.5,0.11,2,0,25,35,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/18/18,10.74,0.02,0,2,27,41,12
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/19/18,12.08,0.52,0,0,42,60,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/20/18,13.2,2.1,0,0,59,66,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/21/18,10.96,0.04,0,0,32,34,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/22/18,13.2,0,0,0,33,40,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/23/18,9.4,0.06,0,0,40,44,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/24/18,13.2,0.16,0,0,36,50,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/25/18,17.9,0.01,0,0,40,50,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/26/18,8.72,0,0,0,40,53,28
